condition,repetition,duration_s,initial_reference_hits,reference_hits,new_reference_hits,reference_hit_pct,mean_new_reference_hits_over_time,new_hits_last_60s,observed_voxels,new_observed_voxels,cmu_hit_voxel_volume_m3,distance_m,planar_distance_m,new_reference_hits_per_planar_m,low_motion_total_s,longest_low_motion_s,ht_denied_time_s,planning_cycles,runtime_median_ms,runtime_p95_ms,runtime_max_ms,scan_rate_hz,scan_age_p95_s,max_sample_gap_s,sim_clock_rate,finished,finish_time_s,min_sensor_z_m,max_sensor_z_m
baseline,1,300.001,1367,26113,24746,7.682282473110687,16548.561434999996,5617.0,27870,26423,3482.375,145.7253376099155,145.69360224831485,169.84959955773365,0,0,,286,227.0,521.5,1194.0,4.973316755610815,0.1930537223815918,0.2330000000000041,0.9947231398484612,False,,0.75,0.8808169364929199
baseline,2,300.0,1367,32258,30891,9.490103320859516,22018.36337,642.3849999999984,33514,32067,4187.25,143.38837974744078,143.35149354242807,215.49130208997173,0,0,,299,247.0,376.49999999999983,658.0,5.0,0.156358003616333,0.2109999999999843,0.9999366643443595,False,,0.75,0.880561888217926
baseline,3,300.0,1367,33169,31802,9.758113864764997,17652.14358,8565.619999999999,35088,33641,4384.625,139.51201354359367,139.4757207710233,228.01101026184483,0,0,,298,231.5,336.29999999999995,770.0,5.0,0.19483733177185059,0.21299999999999386,0.9999266639776793,False,,0.75,0.8813571333885193
ht,1,300.001,1367,34385,33018,10.11585351502742,20191.261528333333,3592.454545454544,36443,34996,4552.75,125.66607265472236,125.60422667354852,262.8733194290936,0,0,1.8,299,227.0,308.6999999999994,441.0,4.999983333388889,0.19653749465942383,0.20400000000000773,0.9998499914995183,False,,0.75,0.8812915682792664
ht,2,300.001,1367,30663,29296,9.020864223681423,19764.816013333333,1707.3199999999997,31804,30357,3972.875,123.6414858341597,123.59327584396625,237.03554906162972,0,0,7.576999999999998,297,243.0,425.1999999999999,1142.0,4.993316688944371,0.19154977798461914,0.22800000000000864,0.9991962728403587,False,,0.75,0.8807487487792969
ht,3,300.0,1367,32796,31429,9.64837958059733,19321.380731666664,2391.8499999999985,34919,33472,4362.5,119.9418612417757,119.87919599055017,262.1722621703059,0,0,13.760999999999886,290,227.0,352.8000000000002,538.0,5.0,0.07208418846130371,0.21999999999999886,0.9998999966665555,False,,0.75,0.8809942007064819
