condition,repetition,duration_s,initial_reference_hits,reference_hits,new_reference_hits,reference_hit_pct,mean_new_reference_hits_over_time,new_hits_last_60s,observed_voxels,new_observed_voxels,cmu_hit_voxel_volume_m3,distance_m,planar_distance_m,new_reference_hits_per_planar_m,low_motion_total_s,longest_low_motion_s,ht_denied_time_s,planning_cycles,runtime_median_ms,runtime_p95_ms,runtime_max_ms,scan_rate_hz,scan_age_p95_s,max_sample_gap_s,sim_clock_rate,finished,finish_time_s,min_sensor_z_m,max_sensor_z_m
baseline,1,300.001,1367,26113,24746,7.682282473110687,16548.561434999996,5617.0,27870,26423,3482.375,145.7253376099155,145.69360224831485,169.84959955773365,0,0,,286,227.0,521.5,1194.0,4.973316755610815,0.1930537223815918,0.2330000000000041,0.9947231398484612,False,,0.75,0.8808169364929199
ht,1,300.001,1367,32207,30840,9.475099437501472,19370.20926333333,1820.6500000000015,34325,32878,4288.25,124.40496958828996,124.34434506632462,248.02092916690427,0,0,12.801999999999975,295,238.0,329.20000000000005,442.0,4.99665001116663,0.1941828727722168,0.20300000000000296,0.9998232950472602,False,,0.75,0.880622148513794
ht,2,300.001,1367,13013,11646,3.828343806632305,10419.263844999998,0.0,13808,12361,1722.0,33.91258826769007,33.866924857721344,343.87533113579457,219.0,219.0,226.748,294,219.0,350.74999999999983,943.0,4.993316688944371,0.17022442817687988,0.2259999999999991,0.998759958665289,False,,0.75,0.8802921772003174
baseline,2,300.0,1367,32258,30891,9.490103320859516,22018.36337,642.3849999999984,33514,32067,4187.25,143.38837974744078,143.35149354242807,215.49130208997173,0,0,,299,247.0,376.49999999999983,658.0,5.0,0.156358003616333,0.2109999999999843,0.9999366643443595,False,,0.75,0.880561888217926
baseline,3,300.0,1367,33169,31802,9.758113864764997,17652.14358,8565.619999999999,35088,33641,4384.625,139.51201354359367,139.4757207710233,228.01101026184483,0,0,,298,231.5,336.29999999999995,770.0,5.0,0.19483733177185059,0.21299999999999386,0.9999266639776793,False,,0.75,0.8813571333885193
ht,3,300.0,1367,31489,30122,9.263868295323496,19221.47603,1683.2750000000015,33516,32069,4186.375,122.30845557612139,122.24883632202575,246.39907344928136,0,0,19.757000000000076,287,231.0,307.7,799.0,4.996666666666667,0.18659162521362305,0.2219999999999942,0.9994566449324639,False,,0.75,0.880861759185791
