task,scenario,mode,selected_route,selected_length_m,risk_integral,unknown_length_m,abstract_data_gate_permits,unsafe_route_selected,hazardous_route_permitted,hazardous_exposure_m,safe_task_rejected,safe_detour_ratio
flat_control_rot7_forward,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_forward,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_forward,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_forward,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_reverse,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot0_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot0_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot0_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot1_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot1_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot1_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot2_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot2_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot2_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot3_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot3_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,baseline,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,ht_w0,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,ht_w0.5,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,ht_w1,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,ht_w2,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot3_reverse,directional_ramp,ht_w5,0,10.314138970710333,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot4_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot4_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot4_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot5_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot5_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot5_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_forward,directional_ramp,baseline,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot6_forward,directional_ramp,ht_w0,0,10.314138970710335,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot6_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot6_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_forward,directional_ramp,baseline,0,10.314138970710333,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot7_forward,directional_ramp,ht_w0,0,10.314138970710333,14.194437575985152,0.0,True,True,True,4.314138970710333,False,
directional_ramp_rot7_forward,directional_ramp,ht_w0.5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_forward,directional_ramp,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_forward,directional_ramp,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_forward,directional_ramp,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,baseline,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,ht_w0,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,ht_w0.5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,ht_w1,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,ht_w2,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
directional_ramp_rot7_reverse,directional_ramp,ht_w5,0,10.314138970710335,1.0088889678315212,0.0,True,False,False,0,False,1.0
cross_slope_rot0_forward,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_forward,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_forward,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_forward,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot0_forward,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot0_forward,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot0_reverse,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_reverse,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_reverse,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot0_reverse,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot0_reverse,cross_slope,ht_w2,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot0_reverse,cross_slope,ht_w5,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
cross_slope_rot1_forward,cross_slope,baseline,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_forward,cross_slope,ht_w0,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_forward,cross_slope,ht_w0.5,0,10.0,12.290688876226731,0.0,True,True,True,4.0,False,
cross_slope_rot1_forward,cross_slope,ht_w1,1,16.0,0.8206929109743366,0.0,True,False,False,0,False,1.0
